category	number
4S店/汽车销售	34
DIY手工坊	57
KTV	75
三星级酒店	26
东北菜	54
东南亚菜	11
个性写真	47
中东菜	5
中餐	65
丰田	1
乒乓球馆	10
书店	70
云南菜	6
五星级酒店	9
亲子乐园	13
亲子摄影	3
亲子服务	15
亲子游乐	1
亲子购物	38
休闲娱乐	106
休闲网吧	49
体检中心	12
体育场馆	20
保龄球馆	3
停车场	437
健身中心	81
儿童摄影	48
儿童服饰	52
全包装修	17
公交车	3
公办小学	46
公办幼儿园	49
公司企业	320
公园	43
公寓式酒店	26
农家菜	15
冰淇淋	26
创意园区	79
创意菜	14
别克	2
办公/文化用品	71
加油站	13
包子	34
化妆品	120
北京菜	4
医院	189
半包装修	162
博物馆	23
印度菜	1
厨房卫浴主材	182
台湾菜	23
司仪主持	14
咖啡厅	280
品牌	20
品牌折扣店	28
售票点	7
商务楼	156
四星级酒店	31
图书馆	36
地铁/轻轨	26
场馆	18
培训	696
墙面材料	40
壁球馆	3
大众	10
奇瑞	1
奢侈品护理	9
奥迪	2
女士婚纱	11
妇幼医院	8
婚戒首饰	15
婚房装修	2
婚礼小商品	11
婚礼策划	19
婚礼跟拍	33
婚车租赁	10
婴儿游泳	8
孕产护理	5
孕产用品	4
孕妇写真	5
学校	225
宁波菜	10
宝宝用品	18
宝马	1
宠物	25
宠物医院	10
宠物店	49
客厅卧室主材	117
客栈旅舍	22
家具	176
家具家居	30
家居建材	92
家居用品	166
家居软装	43
家政	129
家用电器	17
家纺/床上用品	26
家装卖场	13
密室	13
寿司/简餐	36
射箭馆	2
小区	886
小吃	276
小吃快餐	12
小学	10
小火锅	2
小笼	20
小龙虾	32
居家维修	185
山西菜	1
川菜	61
川菜/家常菜	70
工作室	14
幼儿园	17
幼儿外语	19
幼儿才艺	60
幼儿教育	1
度假村	5
建材	218
彩妆造型	47
徽菜	2
快照/冲印	211
快餐简餐	568
意大利菜	29
房屋地产	24
托班/托儿所	8
攀岩馆	1
数码产品	278
整形	29
文化艺术	146
新加坡菜	3
新疆菜	25
旅行社	130
日产	4
日式烧烤/铁板烧	16
日式自助	5
日本	16
日本料理	72
早教中心	36
星巴克	1
景点/郊游	83
智能家居	8
月子服务	27
服饰鞋包	1593
本帮江浙菜	163
本帮菜	275
本田	2
杭帮菜	7
标致	1
格林豪泰	1
桌球馆	43
桌面游戏	39
棋牌室	100
武术	28
武术场馆	5
比萨	23
民办小学	6
民办幼儿园	39
汉庭	1
江浙菜	23
江西菜	2
汽车租赁	42
汽车美容	28
法国菜	18
泰国菜	9
洗浴	85
洗衣店	88
流行饰品	54
海鲜	23
涮羊肉	9
淮扬菜	7
清包装修	3
清真菜	12
温泉	1
港口/码头	2
港台甜品	34
游乐场	3
游乐游艺	13
游泳馆	37
游艺厅	24
湘菜	97
溜冰场	3
演出场馆	24
演出票务	25
潮汕菜	5
火车站	1
火锅	58
烤鱼	12
烧烤	110
熟食	24
燕翅鲍	8
牛排	12
物流快递	59
特色集市	84
玩具	21
珠宝饰品	36
瑜伽	22
生活服务	460
生煎	11
电信营业厅	6
电影院	11
男士礼服	3
瘦身纤体	60
白斩鸡	3
真人CS	1
眼镜店	60
私人影院	4
空手道馆	6
管线辅料	176
篮球场	20
米粉	42
粤菜	50
粤菜馆	31
粥店	25
精品酒店	14
精工名表	16
素菜	12
纹身	27
绍兴菜	4
经济型酒店	139
维修保养	250
综合商场	80
网球场	25
网站	57
美发	390
美容/SPA	411
美术展览	62
美甲	231
美睫	7
美食	14
羽毛球馆	21
自助餐	35
舞蹈	54
花店	159
茶餐厅	39
茶馆	105
荣威	2
药店	84
蟹宴	9
装修设计	21
西北菜	16
西式甜点	123
西式简餐	71
西班牙菜	10
西餐	80
购物场所	233
贵州菜	4
起亚	1
超市/便利店	485
越南菜	5
足球场	11
足疗按摩	307
跆拳道馆	16
轰趴馆	2
运动场馆	16
运动户外	110
配件/车饰	48
酒吧	221
酒店住宿	89
铃木	1
银行	34
锅贴	8
长途汽车站	3
闽菜	4
雪佛兰	1
零食	25
青年旅舍	7
面包	96
面包甜点	12
面馆	179
韩国料理	31
飞机场	1
食品茶酒	612
饮品	132
饺子	10
馄饨	20
香锅	18
马术场	1
马自达	1
驾校	23
高尔夫场	5
鱼火锅	4
鲁菜	1
麻辣烫	41
黄金珠宝	65
齿科	85
