	name	latitude	longitude	scores	category	price
1190	静安别墅	31.23475348465806	121.46100109559347	25	shops	34
1191	恒隆广场	31.235639168750517	121.45631626400635	29	shops	8056
1192	Roger Vivier	31.235721938685078	121.4562310135559	28	shops	1318
1193	中信泰富广场	31.2358910871625	121.4572128167979	25	shops	539
1194	Michael Kors	31.235721938685078	121.4562310135559	31	shops	0
1195	优衣库(南京西路店)	31.237507360439555	121.46064177795867	24	shops	241
1196	American Eagle	31.238612506383937	121.46297276759344	25	shops	604
1197	Jimmy Choo	31.235721938685078	121.4562310135559	28	shops	8768
1198	三星(南京西路旗舰店)	31.236737900864814	121.45860178752562	26	shops	2480
1199	Tod's(恒隆广场店)	31.235721938685078	121.4562310135559	27	shops	3360
1202	Snidel(伊势丹店)	31.23709134278742	121.4592877783954	27	shops	1461
1204	Louis Vuitton(恒隆广场店)	31.235721938685078	121.4562310135559	27	shops	7269
1206	Massimo Dutti(南京西路店)	31.235482771765515	121.45699221587064	28	shops	1237
1207	睛姿眼镜店(梅龙镇店)	31.23709134278742	121.4592877783954	28	shops	409
1208	龙凤旗袍	31.23810030982821	121.46073400401238	27	shops	2167
1209	PRADA(南京西路店)	31.236237665666607	121.45883150567151	28	shops	7296
1210	CHANEL(恒隆店)	31.235721938685078	121.4562310135559	29	shops	16195
1211	艾丽斯花坊(南京西路店)	31.234847212824747	121.45345230197478	28	shops	217
1214	Samantha Thavasa	31.23709134278742	121.4592877783954	26	shops	1696
1215	Bottega Veneta(金鹰店)	31.236506470721615	121.4566260757571	31	shops	8529
1216	巴黎世家(恒隆店)	31.235721938685078	121.4562310135559	27	shops	12975
1218	万宝龙(中信泰富店)	31.236139191415656	121.45774433497469	29	shops	5317
1219	Salvatore Ferragamo(上海商城店...	31.235116527095407	121.45411511043744	30	shops	4851
1221	艾视迪隐形眼镜专家(四季坊店)	31.237818472740006	121.46281133973227	24	shops	385
1222	杂趣	31.23475348465806	121.46100109559347	27	shops	26
1225	OMEGA(南京西路店)	31.2362603815179	121.458714158632	26	shops	38317
1227	LOEWE(中信泰富店)	31.236676069737424	121.45779844604336	31	shops	8340
1229	MIKIMOTO	31.235721938685078	121.4562310135559	29	shops	6250
1230	Diesel(恒隆广场店)	31.235721938685078	121.4562310135559	26	shops	0
1231	亮视点(南京西路店)	31.23656112003832	121.45908923738573	24	shops	2107
1232	莉莉安的铺	31.23475348465806	121.46100109559347	27	shops	27
1233	Fendi(恒隆广场店)	31.235721938685078	121.4562310135559	26	shops	4613
1234	UHA PREMIUM SHOP	31.240999145396977	121.4628612196629	27	shops	42
1235	西区老大房(新闸路店)	31.242186463203325	121.45989915478205	30	shops	14
1236	Francfranc(梅龙镇店)	31.237322648425234	121.45817749496932	25	shops	151
1239	CHLOE(中信泰富店)	31.236676069737424	121.45779844604336	26	shops	6833
1241	琉璃工房(恒隆店)	31.235721938685078	121.4562310135559	25	shops	0
1242	南京西路	31.237025218375774	121.45964684835137	27	shops	0
1243	Dior Homme(恒隆店)	31.235721938685078	121.4562310135559	31	shops	12714
1244	Bally(中信泰富店)	31.236139191415656	121.45774433497469	27	shops	3120
1248	TOUGH(中信泰富店)	31.23598467811967	121.45792487342092	25	shops	943
1250	马莎百货(南京西路店)	31.23840162961373	121.46216631541601	22	shops	391
1251	梅龙镇伊势丹百货	31.237322648425234	121.45817749496932	24	shops	741
1252	金鹰国际购物中心	31.236506470721615	121.4566260757571	21	shops	2105
1253	G2000(南京西路店)	31.238696458300385	121.46215124410476	23	shops	665
1254	H&M(南京西路店)	31.238155937395348	121.46224658149794	22	shops	252
1255	城市超市(上海商城店)	31.234847212824747	121.45345230197478	25	shops	88
1256	耐克员工店	31.240167984666826	121.45582046239264	25	shops	1587
1257	GAP(南京西路店)	31.238205793350247	121.46301392915223	22	shops	352
1258	UGG Australia(恒隆店)	31.236237665666607	121.45883150567151	24	shops	1847
1260	MUJI(818广场店)	31.239026379077636	121.46299780906355	24	shops	232
1261	梅龙镇广场	31.236938603679253	121.45936903199235	23	shops	745
1262	Nine West(梅龙镇伊势丹店)	31.23709134278742	121.4592877783954	23	shops	413
1263	雷允上药房(南京西路店)	31.23798017766533	121.46065577934486	23	shops	57
1265	茂昌眼镜(南西店)	31.237220486644024	121.4597982816765	24	shops	422
1267	Gucci(金鹰店)	31.236506470721615	121.4566260757571	25	shops	6301
1268	四季坊	31.237693893280955	121.46255155377692	22	shops	69
1269	TOUS(南京西路店)	31.235890050299734	121.45806729663215	23	shops	0
1272	Burberry(梅龙镇店)	31.23709134278742	121.4592877783954	27	shops	4993
1273	蓝棠(南京西路店)	31.23557905004869	121.45757087970489	23	shops	313
1274	Next City(吴江店)	31.2374230166916	121.4613158162298	24	shops	206
1276	Coach(梅龙镇广场店)	31.236938603679253	121.45936903199235	22	shops	1833
1277	LeSportsac	31.23584592695595	121.45800511913906	24	shops	0
1280	安娜苏	31.235721938685078	121.4562310135559	24	shops	0
1284	免税店	31.24060130795198	121.45560581668389	22	shops	811
1286	818广场	31.23919415795333	121.46374911442905	20	shops	220
1288	GENTEN	31.23709134278742	121.4592877783954	26	shops	2456
1289	Ed Hardy	31.236676069737424	121.45779844604336	27	shops	0
1290	I.T(恒隆广场店)	31.235721938685078	121.4562310135559	21	shops	921
1291	Tommy Hilfiger(恒隆店)	31.235721938685078	121.4562310135559	24	shops	0
1292	Bradelis	31.236506470721615	121.4566260757571	24	shops	1132
1293	Brooks Brothers(恒隆店)	31.235721938685078	121.4562310135559	25	shops	2000
1294	Chocoolate(南京西路店)	31.236902501957573	121.45974314505112	18	shops	0
1295	ETRO	31.23709134278742	121.4592877783954	25	shops	0
1297	In Point	31.237693893280955	121.46255155377692	18	shops	83
1299	Wedgwood(恒隆旗舰店)	31.235721938685078	121.4562310135559	29	shops	5710
1300	Celine(恒隆广场店)	31.235721938685078	121.4562310135559	23	shops	0
1301	静岸花卉园艺	31.240748325056327	121.45474137074842	23	shops	153
1303	JUICY COUTURE(梅龙镇店)	31.23709134278742	121.4592877783954	25	shops	1250
1304	雅瓷轩	31.23475348465806	121.46100109559347	28	shops	0
1305	ASOBIO(南京西路店)	31.238077370720077	121.46075506930127	22	shops	560
1306	巴黎三城(南京西路店)	31.23883337735629	121.4625534617136	21	shops	587
1308	Anteprima	31.235721938685078	121.4562310135559	22	shops	0
1309	Emporio Armani(恒隆店)	31.235721938685078	121.4562310135559	22	shops	0
1310	杰尼亚(恒隆店)	31.235721938685078	121.4562310135559	26	shops	0
1311	DKNY(恒隆店)	31.235721938685078	121.4562310135559	22	shops	0
1312	JOYCE	31.235721938685078	121.4562310135559	23	shops	0
1313	格格屋(吴江路店)	31.23703222635488	121.46091263320389	21	shops	69
1315	湟普汇	31.237045234826304	121.46091865020384	22	shops	0
1316	Armani Collezioni(中信泰富广场...	31.236676069737424	121.45779844604336	24	shops	0
1317	登喜路(恒隆店)	31.235721938685078	121.4562310135559	25	shops	1731
1320	D-MOP	31.236506470721615	121.4566260757571	24	shops	0
1321	OVS(818广场店)	31.239026379077636	121.46299780906355	21	shops	318
1322	景德镇艺术瓷器(南西店)	31.235267410398095	121.45722891697987	24	shops	0
1323	豪雅表(南京西路店)	31.237364909657423	121.4600048845798	24	shops	0
1324	现代书店	31.236139191415656	121.45774433497469	22	shops	0
1325	TASAKI(梅龙镇店)	31.23709134278742	121.4592877783954	25	shops	0
1328	DKNY(梅龙镇店)	31.23709134278742	121.4592877783954	21	shops	0
1331	纪梵希(中信泰富店)	31.236676069737424	121.45779844604336	33	shops	0
1332	新秀丽(恒隆店)	31.235721938685078	121.4562310135559	26	shops	0
1333	阿努比斯银饰(四季坊店)	31.238078954455755	121.46346131959477	21	shops	408
1334	MaxMara(中信泰富店)	31.236676069737424	121.45779844604336	19	shops	0
1336	热风(静安店)	31.23732077794281	121.45951743887079	21	shops	301
1337	On Pedder	31.235721938685078	121.4562310135559	27	shops	0
1338	Bauhaus(中信店)	31.23598467811967	121.45792487342092	25	shops	0
1340	屈臣氏(818店)	31.239026379077636	121.46299780906355	20	shops	51
1342	屈臣氏(梅龙镇店)	31.237322648425234	121.45817749496932	21	shops	83
1344	Escada(恒隆店)	31.235721938685078	121.4562310135559	25	shops	0
1345	DAKS(梅龙镇店)	31.23709134278742	121.4592877783954	22	shops	0
1346	ECCO(南京西路店)	31.238194172182464	121.46152638740791	27	shops	0
1347	L.L.Bean(梅龙镇店)	31.237052936818383	121.45824872630381	20	shops	0
1348	Rosebullet(梅龙镇店)	31.23709134278742	121.4592877783954	23	shops	0
1349	FIVE PLUS+(818店)	31.239026379077636	121.46299780906355	22	shops	1234
1350	全家便利店(江宁路店)	31.23850764328889	121.45666501508288	24	shops	13
1352	正善食品	31.25112312440137	121.4834227672856	25	shops	147
1356	Marc Jacobs(中信泰富店)	31.236139191415656	121.45774433497469	22	shops	0
1357	STELLA LUNA(金鹰国际店)	31.236506470721615	121.4566260757571	22	shops	0
1358	东急手创	31.23709134278742	121.4592877783954	22	shops	0
1359	江诗丹顿(南京西路店)	31.236230017161997	121.45855168421971	26	shops	0
1360	Louisa M(中信泰富店)	31.236139191415656	121.45774433497469	21	shops	0
1362	IORI(梅龙镇伊势丹店)	31.23709134278742	121.4592877783954	23	shops	325
1363	YIYAYO蕾丝包包(吴江路店)	31.238078954455755	121.46346131959477	22	shops	200
1364	锦红酒汇	31.24243367475891	121.45702471094029	26	shops	163
1366	耐克(南阳路)	31.236159590511026	121.45250961210708	23	shops	640
1367	江南布衣(818店)	31.239026379077636	121.46299780906355	23	shops	0
1369	7-11便利店(石门二路店)	31.242655044002912	121.462309386677	18	shops	18
1370	AGATHA(南京西路店)	31.237611523384818	121.46031077697675	22	shops	0
1372	REPLAY(中信泰富店)	31.236139191415656	121.45774433497469	20	shops	0
1373	TEST TUBE(中信泰富店)	31.236139191415656	121.45774433497469	22	shops	0
1374	Mu(吴江路店)	31.238078954455755	121.46346131959477	25	shops	0
1375	EMILIO  PUCCI(中信泰富店)	31.236139191415656	121.45774433497469	28	shops	0
1377	Nine West(金鹰店)	31.236506470721615	121.4566260757571	24	shops	0
1380	全家便利店(威海店)	31.234713428466645	121.46097000535104	24	shops	11
1381	全家便利店(新闸路一店)	31.241976759869093	121.45956116805091	21	shops	0
1383	华歌尔(伊势丹店)	31.23709134278742	121.4592877783954	22	shops	434
1385	Tapenade(818广场店)	31.239026379077636	121.46299780906355	20	shops	441
1386	全家便利店(南京西路三店)	31.236139191415656	121.45774433497469	20	shops	0
1387	MONCLER	31.235721938685078	121.4562310135559	20	shops	0
1388	万宁(吴江路店)	31.238078954455755	121.46346131959477	18	shops	47
1390	铁狮东尼	31.23709134278742	121.4592877783954	21	shops	0
1392	吴江路步行街	31.238315017434847	121.46312526250483	19	shops	40
1393	开开百货(石门二路店)	31.242078802439313	121.46251305911795	18	shops	203
1394	7-11便利店(四季坊店)	31.2379615599338	121.46287351842328	19	shops	12
1395	欧时力(818店)	31.239026379077636	121.46299780906355	19	shops	0
1396	i.t(梅龙镇店)	31.23709134278742	121.4592877783954	21	shops	0
1401	屈臣氏(四季坊店)	31.237472132230668	121.46260774497021	15	shops	60
1402	乐购express(江宁路店)	31.243109056400286	121.45373536996625	16	shops	52
1403	名表城	31.23541640375207	121.4572559823253	20	shops	0
1404	Guess(梅龙镇店)	31.23709134278742	121.4592877783954	16	shops	0
1407	POLO(梅龙镇店)	31.23709134278742	121.4592877783954	19	shops	0
1409	松下(梅龙镇店)	31.23709134278742	121.4592877783954	18	shops	0
1410	TOUGH(818广场店)	31.239026379077636	121.46299780906355	19	shops	729
1411	Jack&Jones(南京西路店)	31.23609062456595	121.45835512029812	18	shops	0
1412	堡狮龙(南西店)	31.236858292508217	121.4596458597735	16	shops	259
1413	b+ab(恒隆店)	31.235721938685078	121.4562310135559	17	shops	0
1414	倍美丛(梅龙镇店)	31.237322648425234	121.45817749496932	17	shops	0
1415	ONLY(南京西路店)	31.236132723926726	121.45840626640302	18	shops	0
1416	Miss Sixty(中信泰富店)	31.23598467811967	121.45792487342092	19	shops	0
1417	Jessica(中信泰富店)	31.236139191415656	121.45774433497469	19	shops	0
1419	ICB(梅龙镇店)	31.23709134278742	121.4592877783954	13	shops	0
1420	贝拉维拉(南京西路店)	31.23861998837078	121.46194361803535	15	shops	0
1421	美式眼镜(南京西路店)	31.235766586434128	121.45784164997431	16	shops	0
1422	名店运动城(梅龙镇店)	31.237052936818383	121.45824872630381	17	shops	0
1423	宝姿(锦沧文华店)	31.234764247519983	121.45572666182592	17	shops	0
1424	摩士达商厦	31.238273786367092	121.4617951963722	15	shops	0
